email,name,attribs
mairie.apremont-sur-aire@wanadoo.fr,APREMONT,"{""nom_commune"": ""APREMONT"", ""departement_numero"": ""8"", ""zipcode"": ""08250"", ""population_commune"": ""374"", ""code_insee"": ""1011"", ""city"": ""APREMONT"", ""state"": ""AIN""}"
accueil@mairieapremont.fr,APREMONT,"{""nom_commune"": ""APREMONT"", ""departement_numero"": ""60"", ""zipcode"": ""60300"", ""population_commune"": ""374"", ""code_insee"": ""1011"", ""city"": ""APREMONT"", ""state"": ""AIN""}"
mairieapremont@wanadoo.fr,APREMONT,"{""nom_commune"": ""APREMONT"", ""departement_numero"": ""70"", ""zipcode"": ""70100"", ""population_commune"": ""374"", ""code_insee"": ""1011"", ""city"": ""APREMONT"", ""state"": ""AIN""}"
accueil@mairie-apremont.com,APREMONT,"{""nom_commune"": ""APREMONT"", ""departement_numero"": ""73"", ""zipcode"": ""73190"", ""population_commune"": ""374"", ""code_insee"": ""1011"", ""city"": ""APREMONT"", ""state"": ""AIN""}"
mairie@apremont85.fr,APREMONT,"{""nom_commune"": ""APREMONT"", ""departement_numero"": ""85"", ""zipcode"": ""85220"", ""population_commune"": ""374"", ""code_insee"": ""1011"", ""city"": ""APREMONT"", ""state"": ""AIN""}"
mairie.aranc@wanadoo.fr,ARANC,"{""nom_commune"": ""ARANC"", ""departement_numero"": ""1"", ""zipcode"": ""01110"", ""population_commune"": ""306"", ""code_insee"": ""1012"", ""city"": ""ARANC"", ""state"": ""AIN""}"
mairie.arandas@orange.fr,ARANDAS,"{""nom_commune"": ""ARANDAS"", ""departement_numero"": ""1"", ""zipcode"": ""01230"", ""population_commune"": ""162"", ""code_insee"": ""1013"", ""city"": ""ARANDAS"", ""state"": ""AIN""}"
mairie@arbent.fr,ARBENT,"{""nom_commune"": ""ARBENT"", ""departement_numero"": ""1"", ""zipcode"": ""01100"", ""population_commune"": ""3458"", ""code_insee"": ""1014"", ""city"": ""ARBENT"", ""state"": ""AIN""}"
mairie@arbigny.com,ARBIGNY,"{""nom_commune"": ""ARBIGNY"", ""departement_numero"": ""1"", ""zipcode"": ""01190"", ""population_commune"": ""405"", ""code_insee"": ""1016"", ""city"": ""ARBIGNY"", ""state"": ""AIN""}"
mairieargis01@orange.fr,ARGIS,"{""nom_commune"": ""ARGIS"", ""departement_numero"": ""1"", ""zipcode"": ""01230"", ""population_commune"": ""421"", ""code_insee"": ""1017"", ""city"": ""ARGIS"", ""state"": ""AIN""}"
mairie.armix@wanadoo.fr,ARMIX,"{""nom_commune"": ""ARMIX"", ""departement_numero"": ""1"", ""zipcode"": ""01510"", ""population_commune"": ""20"", ""code_insee"": ""1019"", ""city"": ""ARMIX"", ""state"": ""AIN""}"
mairie@ars-sur-formans.fr,ARS-SUR-FORMANS,"{""nom_commune"": ""ARS-SUR-FORMANS"", ""departement_numero"": ""1"", ""zipcode"": ""01480"", ""population_commune"": ""1374"", ""code_insee"": ""1021"", ""city"": ""ARS-SUR-FORMANS"", ""state"": ""AIN""}"
mairie@artemare.fr,ARTEMARE,"{""nom_commune"": ""ARTEMARE"", ""departement_numero"": ""1"", ""zipcode"": ""01510"", ""population_commune"": ""1140"", ""code_insee"": ""1022"", ""city"": ""ARTEMARE"", ""state"": ""AIN""}"
asnieres.saone.mairie@wanadoo.fr,ASNIÈRES-SUR-SAÔNE,"{""nom_commune"": ""ASNIÈRES-SUR-SAÔNE"", ""departement_numero"": ""1"", ""zipcode"": ""01570"", ""population_commune"": ""73"", ""code_insee"": ""1023"", ""city"": ""ASNIÈRES-SUR-SAÔNE"", ""state"": ""AIN""}"
accueil@attignat.fr,ATTIGNAT,"{""nom_commune"": ""ATTIGNAT"", ""departement_numero"": ""1"", ""zipcode"": ""01340"", ""population_commune"": ""3023"", ""code_insee"": ""1024"", ""city"": ""ATTIGNAT"", ""state"": ""AIN""}"
mairie@bage-le-chatel.fr,BÂGÉ-LE-CHÂTEL,"{""nom_commune"": ""BÂGÉ-LE-CHÂTEL"", ""departement_numero"": ""1"", ""zipcode"": ""01380"", ""population_commune"": ""786"", ""code_insee"": ""1026"", ""city"": ""BÂGÉ-LE-CHÂTEL"", ""state"": ""AIN""}"
infos@ville-balan.fr,BALAN,"{""nom_commune"": ""BALAN"", ""departement_numero"": ""1"", ""zipcode"": ""01360"", ""population_commune"": ""2498"", ""code_insee"": ""1027"", ""city"": ""BALAN"", ""state"": ""AIN""}"
balan08@wanadoo.fr,BALAN,"{""nom_commune"": ""BALAN"", ""departement_numero"": ""8"", ""zipcode"": ""08200"", ""population_commune"": ""2498"", ""code_insee"": ""1027"", ""city"": ""BALAN"", ""state"": ""AIN""}"
communebaneins@wanadoo.fr,BANEINS,"{""nom_commune"": ""BANEINS"", ""departement_numero"": ""1"", ""zipcode"": ""01990"", ""population_commune"": ""567"", ""code_insee"": ""1028"", ""city"": ""BANEINS"", ""state"": ""AIN""}"
mairie@beaupont.fr,BEAUPONT,"{""nom_commune"": ""BEAUPONT"", ""departement_numero"": ""1"", ""zipcode"": ""01270"", ""population_commune"": ""650"", ""code_insee"": ""1029"", ""city"": ""BEAUPONT"", ""state"": ""AIN""}"
contact@mairie-beauregard.fr,BEAUREGARD,"{""nom_commune"": ""BEAUREGARD"", ""departement_numero"": ""1"", ""zipcode"": ""01480"", ""population_commune"": ""867"", ""code_insee"": ""1030"", ""city"": ""BEAUREGARD"", ""state"": ""AIN""}"
commune-de-beauregard@orange.fr,BEAUREGARD,"{""nom_commune"": ""BEAUREGARD"", ""departement_numero"": ""46"", ""zipcode"": ""46260"", ""population_commune"": ""867"", ""code_insee"": ""1030"", ""city"": ""BEAUREGARD"", ""state"": ""AIN""}"
marie-helene.perrin@bellignat.fr,BELLIGNAT,"{""nom_commune"": ""BELLIGNAT"", ""departement_numero"": ""1"", ""zipcode"": ""01100"", ""population_commune"": ""3590"", ""code_insee"": ""1031"", ""city"": ""BELLIGNAT"", ""state"": ""AIN""}"
mairie@ville-beligneux.fr,BÉLIGNEUX,"{""nom_commune"": ""BÉLIGNEUX"", ""departement_numero"": ""1"", ""zipcode"": ""01360"", ""population_commune"": ""3040"", ""code_insee"": ""1032"", ""city"": ""BÉLIGNEUX"", ""state"": ""AIN""}"
mairie@belley.fr,BELLEY,"{""nom_commune"": ""BELLEY"", ""departement_numero"": ""1"", ""zipcode"": ""01300"", ""population_commune"": ""8761"", ""code_insee"": ""1034"", ""city"": ""BELLEY"", ""state"": ""AIN""}"
mairie@belleydoux.fr,BELLEYDOUX,"{""nom_commune"": ""BELLEYDOUX"", ""departement_numero"": ""1"", ""zipcode"": ""01130"", ""population_commune"": ""323"", ""code_insee"": ""1035"", ""city"": ""BELLEYDOUX"", ""state"": ""AIN""}"
mairie@benonces.com,BÉNONCES,"{""nom_commune"": ""BÉNONCES"", ""departement_numero"": ""1"", ""zipcode"": ""01470"", ""population_commune"": ""273"", ""code_insee"": ""1037"", ""city"": ""BÉNONCES"", ""state"": ""AIN""}"
mairie@beny01.fr,BÉNY,"{""nom_commune"": ""BÉNY"", ""departement_numero"": ""1"", ""zipcode"": ""01370"", ""population_commune"": ""714"", ""code_insee"": ""1038"", ""city"": ""BÉNY"", ""state"": ""AIN""}"
secretariat@commune-bereziat.fr,BÉRÉZIAT,"{""nom_commune"": ""BÉRÉZIAT"", ""departement_numero"": ""1"", ""zipcode"": ""01340"", ""population_commune"": ""446"", ""code_insee"": ""1040"", ""city"": ""BÉRÉZIAT"", ""state"": ""AIN""}"
mairiedebettant@wanadoo.fr,BETTANT,"{""nom_commune"": ""BETTANT"", ""departement_numero"": ""1"", ""zipcode"": ""01500"", ""population_commune"": ""731"", ""code_insee"": ""1041"", ""city"": ""BETTANT"", ""state"": ""AIN""}"
mairie.bey@free.fr,BEY,"{""nom_commune"": ""BEY"", ""departement_numero"": ""1"", ""zipcode"": ""01290"", ""population_commune"": ""247"", ""code_insee"": ""1042"", ""city"": ""BEY"", ""state"": ""AIN""}"
mairie.bey.71@wanadoo.fr,BEY,"{""nom_commune"": ""BEY"", ""departement_numero"": ""71"", ""zipcode"": ""71620"", ""population_commune"": ""247"", ""code_insee"": ""1042"", ""city"": ""BEY"", ""state"": ""AIN""}"
accueil@ville-beynost.fr,BEYNOST,"{""nom_commune"": ""BEYNOST"", ""departement_numero"": ""1"", ""zipcode"": ""01704"", ""population_commune"": ""4471"", ""code_insee"": ""1043"", ""city"": ""BEYNOST"", ""state"": ""AIN""}"
communedebilliat@wanadoo.fr,BILLIAT,"{""nom_commune"": ""BILLIAT"", ""departement_numero"": ""1"", ""zipcode"": ""01200"", ""population_commune"": ""516"", ""code_insee"": ""1044"", ""city"": ""BILLIAT"", ""state"": ""AIN""}"
mairiebirieux@gmail.com,BIRIEUX,"{""nom_commune"": ""BIRIEUX"", ""departement_numero"": ""1"", ""zipcode"": ""01330"", ""population_commune"": ""251"", ""code_insee"": ""1045"", ""city"": ""BIRIEUX"", ""state"": ""AIN""}"
mairiedebiziat@gmail.com,BIZIAT,"{""nom_commune"": ""BIZIAT"", ""departement_numero"": ""1"", ""zipcode"": ""01290"", ""population_commune"": ""807"", ""code_insee"": ""1046"", ""city"": ""BIZIAT"", ""state"": ""AIN""}"
mairie.de.blyes@orange.fr,BLYES,"{""nom_commune"": ""BLYES"", ""departement_numero"": ""1"", ""zipcode"": ""01150"", ""population_commune"": ""907"", ""code_insee"": ""1047"", ""city"": ""BLYES"", ""state"": ""AIN""}"
mairie@mairie-la-boisse.fr,LA BOISSE,"{""nom_commune"": ""LA BOISSE"", ""departement_numero"": ""1"", ""zipcode"": ""01120"", ""population_commune"": ""2908"", ""code_insee"": ""1049"", ""city"": ""LA BOISSE"", ""state"": ""AIN""}"
boissey.mairie@wanadoo.fr,BOISSEY,"{""nom_commune"": ""BOISSEY"", ""departement_numero"": ""1"", ""zipcode"": ""01190"", ""population_commune"": ""292"", ""code_insee"": ""1050"", ""city"": ""BOISSEY"", ""state"": ""AIN""}"
mairie.bolozon@orange.fr,BOLOZON,"{""nom_commune"": ""BOLOZON"", ""departement_numero"": ""1"", ""zipcode"": ""01450"", ""population_commune"": ""92"", ""code_insee"": ""1051"", ""city"": ""BOLOZON"", ""state"": ""AIN""}"
mairie.bouligneux@gmail.com,BOULIGNEUX,"{""nom_commune"": ""BOULIGNEUX"", ""departement_numero"": ""1"", ""zipcode"": ""01330"", ""population_commune"": ""309"", ""code_insee"": ""1052"", ""city"": ""BOULIGNEUX"", ""state"": ""AIN""}"
mairie@bourgenbresse.fr,BOURG-EN-BRESSE,"{""nom_commune"": ""BOURG-EN-BRESSE"", ""departement_numero"": ""1"", ""zipcode"": ""01000"", ""population_commune"": ""39882"", ""code_insee"": ""1053"", ""city"": ""BOURG-EN-BRESSE"", ""state"": ""AIN""}"
bscmairie@orange.fr,BOURG-SAINT-CHRISTOPHE,"{""nom_commune"": ""BOURG-SAINT-CHRISTOPHE"", ""departement_numero"": ""1"", ""zipcode"": ""01800"", ""population_commune"": ""1201"", ""code_insee"": ""1054"", ""city"": ""BOURG-SAINT-CHRISTOPHE"", ""state"": ""AIN""}"
maire@boyeuxsaintjerome.fr,BOYEUX-SAINT-JÉRÔME,"{""nom_commune"": ""BOYEUX-SAINT-JÉRÔME"", ""departement_numero"": ""1"", ""zipcode"": ""01640"", ""population_commune"": ""339"", ""code_insee"": ""1056"", ""city"": ""BOYEUX-SAINT-JÉRÔME"", ""state"": ""AIN""}"
mairie@communeboz.fr,BOZ,"{""nom_commune"": ""BOZ"", ""departement_numero"": ""1"", ""zipcode"": ""01190"", ""population_commune"": ""498"", ""code_insee"": ""1057"", ""city"": ""BOZ"", ""state"": ""AIN""}"
mairie@bregnier-cordon.fr,BRÉGNIER-CORDON,"{""nom_commune"": ""BRÉGNIER-CORDON"", ""departement_numero"": ""1"", ""zipcode"": ""01300"", ""population_commune"": ""862"", ""code_insee"": ""1058"", ""city"": ""BRÉGNIER-CORDON"", ""state"": ""AIN""}"
contact@brenod.com,BRÉNOD,"{""nom_commune"": ""BRÉNOD"", ""departement_numero"": ""1"", ""zipcode"": ""01110"", ""population_commune"": ""543"", ""code_insee"": ""1060"", ""city"": ""BRÉNOD"", ""state"": ""AIN""}"
mairie.brens@wanadoo.fr,BRENS,"{""nom_commune"": ""BRENS"", ""departement_numero"": ""1"", ""zipcode"": ""01300"", ""population_commune"": ""1184"", ""code_insee"": ""1061"", ""city"": ""BRENS"", ""state"": ""AIN""}"
mairie-de-brens@wanadoo.fr,BRENS,"{""nom_commune"": ""BRENS"", ""departement_numero"": ""81"", ""zipcode"": ""81600"", ""population_commune"": ""1184"", ""code_insee"": ""1061"", ""city"": ""BRENS"", ""state"": ""AIN""}"
mairiebressolles@hotmail.com,BRESSOLLES,"{""nom_commune"": ""BRESSOLLES"", ""departement_numero"": ""1"", ""zipcode"": ""01360"", ""population_commune"": ""742"", ""code_insee"": ""1062"", ""city"": ""BRESSOLLES"", ""state"": ""AIN""}"
mairie.bressolles@wanadoo.fr,BRESSOLLES,"{""nom_commune"": ""BRESSOLLES"", ""departement_numero"": ""3"", ""zipcode"": ""03000"", ""population_commune"": ""742"", ""code_insee"": ""1062"", ""city"": ""BRESSOLLES"", ""state"": ""AIN""}"
mairie@brion01.fr,BRION,"{""nom_commune"": ""BRION"", ""departement_numero"": ""1"", ""zipcode"": ""01460"", ""population_commune"": ""522"", ""code_insee"": ""1063"", ""city"": ""BRION"", ""state"": ""AIN""}"
biblio.brion@orange.fr,BRION,"{""nom_commune"": ""BRION"", ""departement_numero"": ""36"", ""zipcode"": ""36110"", ""population_commune"": ""522"", ""code_insee"": ""1063"", ""city"": ""BRION"", ""state"": ""AIN""}"
mairie.brion38@wanadoo.fr,BRION,"{""nom_commune"": ""BRION"", ""departement_numero"": ""38"", ""zipcode"": ""38590"", ""population_commune"": ""522"", ""code_insee"": ""1063"", ""city"": ""BRION"", ""state"": ""AIN""}"
commune-de-brion0978@orange.fr,BRION,"{""nom_commune"": ""BRION"", ""departement_numero"": ""48"", ""zipcode"": ""48310"", ""population_commune"": ""522"", ""code_insee"": ""1063"", ""city"": ""BRION"", ""state"": ""AIN""}"
mairiebrion.setl@wanadoo.fr,BRION,"{""nom_commune"": ""BRION"", ""departement_numero"": ""71"", ""zipcode"": ""71190"", ""population_commune"": ""522"", ""code_insee"": ""1063"", ""city"": ""BRION"", ""state"": ""AIN""}"
contact@brion86.fr,BRION,"{""nom_commune"": ""BRION"", ""departement_numero"": ""86"", ""zipcode"": ""86160"", ""population_commune"": ""522"", ""code_insee"": ""1063"", ""city"": ""BRION"", ""state"": ""AIN""}"
mairie-brion89@wanadoo.fr,BRION,"{""nom_commune"": ""BRION"", ""departement_numero"": ""89"", ""zipcode"": ""89400"", ""population_commune"": ""522"", ""code_insee"": ""1063"", ""city"": ""BRION"", ""state"": ""AIN""}"
briord.commune@orange.fr,BRIORD,"{""nom_commune"": ""BRIORD"", ""departement_numero"": ""1"", ""zipcode"": ""01470"", ""population_commune"": ""902"", ""code_insee"": ""1064"", ""city"": ""BRIORD"", ""state"": ""AIN""}"
accueil@buellas.fr,BUELLAS,"{""nom_commune"": ""BUELLAS"", ""departement_numero"": ""1"", ""zipcode"": ""01310"", ""population_commune"": ""1694"", ""code_insee"": ""1065"", ""city"": ""BUELLAS"", ""state"": ""AIN""}"
mairie.burbanche1@orange.fr,LA BURBANCHE,"{""nom_commune"": ""LA BURBANCHE"", ""departement_numero"": ""1"", ""zipcode"": ""01510"", ""population_commune"": ""74"", ""code_insee"": ""1066"", ""city"": ""LA BURBANCHE"", ""state"": ""AIN""}"
mairie-de-ceignes@wanadoo.fr,CEIGNES,"{""nom_commune"": ""CEIGNES"", ""departement_numero"": ""1"", ""zipcode"": ""01430"", ""population_commune"": ""261"", ""code_insee"": ""1067"", ""city"": ""CEIGNES"", ""state"": ""AIN""}"
cerdon.mairie@wanadoo.fr,CERDON,"{""nom_commune"": ""CERDON"", ""departement_numero"": ""1"", ""zipcode"": ""01450"", ""population_commune"": ""741"", ""code_insee"": ""1068"", ""city"": ""CERDON"", ""state"": ""AIN""}"
mairie.cerdon@wanadoo.fr,CERDON,"{""nom_commune"": ""CERDON"", ""departement_numero"": ""45"", ""zipcode"": ""45620"", ""population_commune"": ""741"", ""code_insee"": ""1068"", ""city"": ""CERDON"", ""state"": ""AIN""}"
mairie@certines.fr,CERTINES,"{""nom_commune"": ""CERTINES"", ""departement_numero"": ""1"", ""zipcode"": ""01240"", ""population_commune"": ""1447"", ""code_insee"": ""1069"", ""city"": ""CERTINES"", ""state"": ""AIN""}"
mairie-cessy@mairie-cessy.fr,CESSY,"{""nom_commune"": ""CESSY"", ""departement_numero"": ""1"", ""zipcode"": ""01170"", ""population_commune"": ""4167"", ""code_insee"": ""1071"", ""city"": ""CESSY"", ""state"": ""AIN""}"
commune.ceyzeriat@orange.fr,CEYZÉRIAT,"{""nom_commune"": ""CEYZÉRIAT"", ""departement_numero"": ""1"", ""zipcode"": ""01250"", ""population_commune"": ""2838"", ""code_insee"": ""1072"", ""city"": ""CEYZÉRIAT"", ""state"": ""AIN""}"
mairie@ceyzerieu.fr,CEYZÉRIEU,"{""nom_commune"": ""CEYZÉRIEU"", ""departement_numero"": ""1"", ""zipcode"": ""01350"", ""population_commune"": ""954"", ""code_insee"": ""1073"", ""city"": ""CEYZÉRIEU"", ""state"": ""AIN""}"
contact@mairie-chalamont.fr,CHALAMONT,"{""nom_commune"": ""CHALAMONT"", ""departement_numero"": ""1"", ""zipcode"": ""01320"", ""population_commune"": ""2365"", ""code_insee"": ""1074"", ""city"": ""CHALAMONT"", ""state"": ""AIN""}"
accueil@chaleins.fr,CHALEINS,"{""nom_commune"": ""CHALEINS"", ""departement_numero"": ""1"", ""zipcode"": ""01480"", ""population_commune"": ""1156"", ""code_insee"": ""1075"", ""city"": ""CHALEINS"", ""state"": ""AIN""}"
mairie@chaley.fr,CHALEY,"{""nom_commune"": ""CHALEY"", ""departement_numero"": ""1"", ""zipcode"": ""01230"", ""population_commune"": ""133"", ""code_insee"": ""1076"", ""city"": ""CHALEY"", ""state"": ""AIN""}"
mairie.challeslamontagne@wanadoo.fr,CHALLES-LA-MONTAGNE,"{""nom_commune"": ""CHALLES-LA-MONTAGNE"", ""departement_numero"": ""1"", ""zipcode"": ""01450"", ""population_commune"": ""175"", ""code_insee"": ""1077"", ""city"": ""CHALLES-LA-MONTAGNE"", ""state"": ""AIN""}"
challex@challex.fr,CHALLEX,"{""nom_commune"": ""CHALLEX"", ""departement_numero"": ""1"", ""zipcode"": ""01630"", ""population_commune"": ""1268"", ""code_insee"": ""1078"", ""city"": ""CHALLEX"", ""state"": ""AIN""}"
champagne-val.mairie@wanadoo.fr,CHAMPAGNE-EN-VALROMEY,"{""nom_commune"": ""CHAMPAGNE-EN-VALROMEY"", ""departement_numero"": ""1"", ""zipcode"": ""01260"", ""population_commune"": ""771"", ""code_insee"": ""1079"", ""city"": ""CHAMPAGNE-EN-VALROMEY"", ""state"": ""AIN""}"
mairie@champfromier01.fr,CHAMPFROMIER,"{""nom_commune"": ""CHAMPFROMIER"", ""departement_numero"": ""1"", ""zipcode"": ""01410"", ""population_commune"": ""676"", ""code_insee"": ""1081"", ""city"": ""CHAMPFROMIER"", ""state"": ""AIN""}"
secretariat@mairiedechanay.fr,CHANAY,"{""nom_commune"": ""CHANAY"", ""departement_numero"": ""1"", ""zipcode"": ""01420"", ""population_commune"": ""627"", ""code_insee"": ""1082"", ""city"": ""CHANAY"", ""state"": ""AIN""}"
mairie@chaneins.fr,CHANEINS,"{""nom_commune"": ""CHANEINS"", ""departement_numero"": ""1"", ""zipcode"": ""01990"", ""population_commune"": ""810"", ""code_insee"": ""1083"", ""city"": ""CHANEINS"", ""state"": ""AIN""}"
mairie.chanoz-chatenay@orange.fr,CHANOZ-CHÂTENAY,"{""nom_commune"": ""CHANOZ-CHÂTENAY"", ""departement_numero"": ""1"", ""zipcode"": ""01400"", ""population_commune"": ""713"", ""code_insee"": ""1084"", ""city"": ""CHANOZ-CHÂTENAY"", ""state"": ""AIN""}"
mairie.chapellechatelard@orange.fr,LA CHAPELLE-DU-CHÂTELARD,"{""nom_commune"": ""LA CHAPELLE-DU-CHÂTELARD"", ""departement_numero"": ""1"", ""zipcode"": ""01240"", ""population_commune"": ""357"", ""code_insee"": ""1085"", ""city"": ""LA CHAPELLE-DU-CHÂTELARD"", ""state"": ""AIN""}"
charix.mairie@wanadoo.fr,CHARIX,"{""nom_commune"": ""CHARIX"", ""departement_numero"": ""1"", ""zipcode"": ""01130"", ""population_commune"": ""289"", ""code_insee"": ""1087"", ""city"": ""CHARIX"", ""state"": ""AIN""}"
accueil@mairie-charnoz.fr,CHARNOZ-SUR-AIN,"{""nom_commune"": ""CHARNOZ-SUR-AIN"", ""departement_numero"": ""1"", ""zipcode"": ""01800"", ""population_commune"": ""913"", ""code_insee"": ""1088"", ""city"": ""CHARNOZ-SUR-AIN"", ""state"": ""AIN""}"
mairie.accueil@chateaugaillard01.fr,CHÂTEAU-GAILLARD,"{""nom_commune"": ""CHÂTEAU-GAILLARD"", ""departement_numero"": ""1"", ""zipcode"": ""01500"", ""population_commune"": ""1830"", ""code_insee"": ""1089"", ""city"": ""CHÂTEAU-GAILLARD"", ""state"": ""AIN""}"
mairie@chatenay01.fr,CHÂTENAY,"{""nom_commune"": ""CHÂTENAY"", ""departement_numero"": ""1"", ""zipcode"": ""01320"", ""population_commune"": ""352"", ""code_insee"": ""1090"", ""city"": ""CHÂTENAY"", ""state"": ""AIN""}"
mairie-chatenay@orange.fr,CHÂTENAY,"{""nom_commune"": ""CHÂTENAY"", ""departement_numero"": ""28"", ""zipcode"": ""28700"", ""population_commune"": ""352"", ""code_insee"": ""1090"", ""city"": ""CHÂTENAY"", ""state"": ""AIN""}"
contact@mairie-chatenay-38.fr,CHÂTENAY,"{""nom_commune"": ""CHÂTENAY"", ""departement_numero"": ""38"", ""zipcode"": ""38980"", ""population_commune"": ""352"", ""code_insee"": ""1090"", ""city"": ""CHÂTENAY"", ""state"": ""AIN""}"
mairie-de-chatenay@orange.fr,CHÂTENAY,"{""nom_commune"": ""CHÂTENAY"", ""departement_numero"": ""71"", ""zipcode"": ""71800"", ""population_commune"": ""352"", ""code_insee"": ""1090"", ""city"": ""CHÂTENAY"", ""state"": ""AIN""}"
secretariat@chatillonlapalud.fr,CHÂTILLON-LA-PALUD,"{""nom_commune"": ""CHÂTILLON-LA-PALUD"", ""departement_numero"": ""1"", ""zipcode"": ""01320"", ""population_commune"": ""1583"", ""code_insee"": ""1092"", ""city"": ""CHÂTILLON-LA-PALUD"", ""state"": ""AIN""}"
mairie@chatillon-sur-chalaronne.org,CHÂTILLON-SUR-CHALARONNE,"{""nom_commune"": ""CHÂTILLON-SUR-CHALARONNE"", ""departement_numero"": ""1"", ""zipcode"": ""01400"", ""population_commune"": ""4940"", ""code_insee"": ""1093"", ""city"": ""CHÂTILLON-SUR-CHALARONNE"", ""state"": ""AIN""}"
mairie@chavannessurreyssouze.fr,CHAVANNES-SUR-REYSSOUZE,"{""nom_commune"": ""CHAVANNES-SUR-REYSSOUZE"", ""departement_numero"": ""1"", ""zipcode"": ""01190"", ""population_commune"": ""697"", ""code_insee"": ""1094"", ""city"": ""CHAVANNES-SUR-REYSSOUZE"", ""state"": ""AIN""}"
mairie.chaveyriat@wanadoo.fr,CHAVEYRIAT,"{""nom_commune"": ""CHAVEYRIAT"", ""departement_numero"": ""1"", ""zipcode"": ""01660"", ""population_commune"": ""943"", ""code_insee"": ""1096"", ""city"": ""CHAVEYRIAT"", ""state"": ""AIN""}"
mairie@chazey-bons.fr,CHAZEY-BONS,"{""nom_commune"": ""CHAZEY-BONS"", ""departement_numero"": ""1"", ""zipcode"": ""01300"", ""population_commune"": ""775"", ""code_insee"": ""1098"", ""city"": ""CHAZEY-BONS"", ""state"": ""AIN""}"
secretariat@chazey-sur-ain.fr,CHAZEY-SUR-AIN,"{""nom_commune"": ""CHAZEY-SUR-AIN"", ""departement_numero"": ""1"", ""zipcode"": ""01150"", ""population_commune"": ""1520"", ""code_insee"": ""1099"", ""city"": ""CHAZEY-SUR-AIN"", ""state"": ""AIN""}"
mairie.cheignieulabalme@orange.fr,CHEIGNIEU-LA-BALME,"{""nom_commune"": ""CHEIGNIEU-LA-BALME"", ""departement_numero"": ""1"", ""zipcode"": ""01510"", ""population_commune"": ""159"", ""code_insee"": ""1100"", ""city"": ""CHEIGNIEU-LA-BALME"", ""state"": ""AIN""}"
mairie@chevillard01.fr,CHEVILLARD,"{""nom_commune"": ""CHEVILLARD"", ""departement_numero"": ""1"", ""zipcode"": ""01430"", ""population_commune"": ""160"", ""code_insee"": ""1101"", ""city"": ""CHEVILLARD"", ""state"": ""AIN""}"
